"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Glul",-2.55757121027152,7.52119601956742,-15.024560657249,0.0000000206622637765946,0.000000884107294818642,9.92070695787836
"Fhdc1",-10.976662980967,4.4395882805475,-17.2152377561029,0.00000000524364932866695,0.000000275927183613035,9.87082289543737
"Il1r1",-2.90902209011105,6.1086002371786,-14.7890682791757,0.0000000242051261665491,0.00000101690810294063,9.85900953285878
"Rnf167",-3.11172906893059,5.87173265873226,-14.7982270462561,0.0000000240555685304991,0.00000101471647173794,9.85699929588352
"H1f2",-2.58829385527214,9.08769192096383,-15.3189656685729,0.0000000170072358148966,0.000000752434776880711,9.83901047880658
"Chp1",-2.79694683198655,6.23477600971135,-14.7896778402149,0.0000000241951409071143,0.00000101690810294063,9.82626470596214
"Mtfr1",-2.88083644175628,6.18489730090102,-14.7796983989191,0.0000000243591821220762,0.00000101927035554181,9.82472496279884
"Kin",-3.35293682233248,5.12196084419866,-14.729008811151,0.0000000252113747636722,0.00000104861203058962,9.82458197612956
"Nucb1",-2.00451520720377,7.99001231112548,-15.0085571640529,0.0000000208841671586056,0.000000889947393151375,9.81797341864452
"Hapstr1",-2.81598489142379,6.20185923151696,-14.7543006413726,0.0000000247821707329743,0.00000103489153052849,9.81223115200554
"Cenpf",-2.03287502926685,8.26286469555542,-15.0733040908548,0.0000000200020990646143,0.00000085938915527512,9.81217857930627
"Erlec1",-3.25765503919525,5.09220210134725,-14.6848857213638,0.0000000259797004547477,0.00000107750353511433,9.79337485049545
"Tbc1d2b",-2.41323737034535,6.84542806350011,-14.812643623117,0.0000000238221931988252,0.00000100691047033898,9.78738592651535
"Cnppd1",-2.94910035625542,5.54154631133048,-14.6832077612269,0.0000000260094192418902,0.00000107750353511433,9.78633734656089
"Slc4a1",-15.220766477754,4.78427603533863,-20.5258884036713,0.00000000087621823697796,0.0000000659156520655117,9.76377911199279
"Tom1l1",-3.1541733931042,5.15534016951028,-14.5980539206515,0.0000000275674415454317,0.00000113527736546187,9.73579779602583
"St3gal1",-3.29977371810077,5.57614017036347,-14.535642916812,0.0000000287739850977441,0.00000118262781354397,9.68796107581785
"Abcb6",-3.48435719641077,4.5692289713322,-14.4587223642586,0.000000030340954523985,0.00000123726968761409,9.63874022808693
"Klf3",-4.45264241034875,4.64013963328878,-14.4709993053629,0.0000000300847327869101,0.00000123406626341266,9.63730943432748
"Psmf1",-3.33854301391505,5.15191504839212,-14.4529657361991,0.0000000304619155968839,0.00000123977616642161,9.63624173327344
"H1f3",-2.66124986516244,8.19093786330893,-14.8327435003963,0.0000000235009316093519,0.000000995350432674134,9.61709926290922
"Mgst3",-5.2964567881598,3.4991330966683,-14.7506816888311,0.0000000248430926255039,0.0000010353607282605,9.59267816979721
"Ninl",-5.44362151204438,3.80635462324121,-14.4672361531394,0.0000000301630185019016,0.00000123409751562108,9.57581717007799
"Gabarapl2",-3.91153977927063,5.56225288691584,-14.3730243539221,0.0000000321972217953099,0.00000130530293340597,9.57503995100316
"Pld3",-5.7964775887622,3.93996904460943,-14.785124994133,0.000000024269830147715,0.00000101757489057965,9.55780275469451
"Tmbim6",-2.21054294649647,6.93663818848956,-14.4652732466385,0.0000000302039414995082,0.00000123409751562108,9.55678679059655
"Cd36",-11.4107211033746,4.1182670652193,-16.5971447292593,0.00000000758888443761686,0.000000376535422224158,9.54735019373926
"Irf9",-2.98132436735247,6.26456563099708,-14.3548533502158,0.0000000326065331667435,0.00000131677313590814,9.53539263984085
"Tbcd",-2.51086047784886,6.48077688647703,-14.3602957815081,0.0000000324833470374242,0.00000131434560304048,9.50301067170338
"Slc40a1",-3.34828809644439,5.27063754615239,-14.1829748336036,0.0000000367717059336865,0.00000147639462089819,9.43139733442816
"Prnp",-6.2771876538135,4.20231124343116,-14.4178153613951,0.0000000312120265485133,0.00000126782886787119,9.42563619954027
"Ccpg1",-2.69831190477849,6.30578333852472,-14.1950308187167,0.000000036461368951379,0.00000146676062974679,9.4205988648261
"Odc1",-2.9802286662425,8.83492169214602,-14.6275616920214,0.0000000270163111375078,0.00000111478394353146,9.40956236997259
"Plekhm1",-4.11299640748888,4.50803773692831,-14.1075968352184,0.0000000387785984246915,0.00000154802381987303,9.39174629555184
"Rngtt",-2.83652404319816,5.92331617832746,-14.1346941773482,0.0000000380437127846839,0.00000152160247026342,9.37985409351176
"Atg2a",-3.05298162948705,5.05748536964985,-14.0539908910352,0.0000000402784549198536,0.00000159877792256543,9.35902324630193
"Nprl3",-4.35500426597539,4.31015814159441,-14.0172184393211,0.0000000413438787769791,0.00000163167376127782,9.29925521334736
