"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pou6f1",42.7221247744491,3.15361401280273,1.11699853361194,2.8232928852692,0.0047533126565157,0.0386744652659989
"Myo5c",170.778573551747,3.15501434046165,0.495550474966757,6.36668613963754,0.000000000193155856052766,0.0000000146244021754025
"S100a8",25937.0762888267,3.15784974354055,0.471888217429207,6.69194446249188,0.0000000000220224452540548,0.00000000195736450915658
"Dusp4",91.6654527211265,3.15799331093729,0.784869792404236,4.02358880606634,0.0000573179566868803,0.0010850193335665
"Rnu4atac",415.907165035331,3.1602437102404,0.835947800217482,3.78043187555279,0.000156556553675144,0.00249787890614957
"Rora",455.376024643506,3.16366351525708,0.513325152641322,6.16307909125124,0.000000000713438498029825,0.0000000474291593365031
"Slc27a6",97.8994895758051,3.16798784768192,0.595312133879744,5.32155766259229,0.000000102882488942757,0.00000418542344320856
"Chic1",65.3005756201842,3.17604992461127,0.86893827882994,3.65509265961668,0.000257089106617493,0.00374393165594166
"Rps6ka6",47.3385315910728,3.18447911170599,1.05050062095556,3.03139193655051,0.00243429038590268,0.0231590372141085
"Myof",693.659131635369,3.19671376329998,0.347888176114346,9.18891179057857,0.0000000000000000000396835442110795,0.0000000000000000180273522785554
"Gm16938",720.133497356427,3.20181789552375,0.500777077210213,6.39369899549077,0.000000000161920030568338,0.0000000126097151424505
"Adrb2",12905.0458227176,3.2114260590876,0.330840087407434,9.70688311762136,0.00000000000000000000028182337120521,0.000000000000000000164604979024643
"AB124611",621.391013970862,3.2240369097734,0.624261150925996,5.16456438942426,0.000000240999507624259,0.00000908032033237419
"Olfm4",257.157316756685,3.23119837573796,0.405844027952433,7.96167530674289,0.00000000000000169725377312491,0.000000000000351353015261833
"Rbfox2",167.660437518541,3.2338514353557,0.5060739046717,6.39007742842137,0.000000000165801778819694,0.0000000128508165441577
"Snora68",54.1554479609877,3.23385272647153,1.08932179270732,2.96868450454328,0.00299077493093964,0.0270675889433243
"Camp",7111.38714271971,3.24707261450216,0.656768710643769,4.94401234693315,0.000000765308533104369,0.000024882416998785
"Ccr1",529.707104330436,3.25142101739382,0.542715901880428,5.99101851655376,0.00000000208530892954441,0.000000123562109542642
"Fcnb",1657.64465780438,3.25302072447295,0.696562294134472,4.67010740010706,0.000003010423033773,0.0000811078390351295
"Gm37347",169.857918401525,3.25311011577375,0.726630735166823,4.4769784132884,0.0000075706901096653,0.000180219892363124
"Lif",110.594470979673,3.2548488803565,0.545662516612444,5.96494862898609,0.0000000024471101862421,0.000000142928714235012
"Slfn4",1339.31464781037,3.27134007941231,0.359177580295553,9.10786268096258,0.0000000000000000000840208184694742,0.0000000000000000361599069802574
"Cadps2",328.934596821077,3.28572484241339,0.639800672509381,5.1355445275266,0.000000281328258207948,0.0000103338080275752
"Tfcp2l1",51.820889626474,3.29379887412759,1.16627675806256,2.82420004630745,0.00473987908622361,0.0386035769801299
"Itgb2l",1270.3293607757,3.30778292265578,0.915887984741521,3.61155837587419,0.000304362552513254,0.0043245396905315
"S100a9",29037.4712580232,3.31068714084251,0.891348036117204,3.71424741705179,0.000203809319335988,0.00309744844213654
"Ccr9",113.915510362687,3.31950561343906,0.876919700587981,3.78541571276516,0.000153451839665943,0.0024579347560204
"Gm49339",528.993717635672,3.32878466110133,0.615927575867231,5.40450661981545,0.0000000649870236080887,0.00000279683627391232
"Abcb1a",85.1480315707298,3.33321045617852,1.22338509472026,2.72457991401366,0.00643833472791822,0.049071434706715
"Lilra6",112.732428921742,3.33759442657512,1.12634768178897,2.963200866427,0.0030445782123938,0.0274330755291946
"Kynu",80.3964123191015,3.34189580476017,0.674162961152031,4.95710384185069,0.000000715517389664396,0.0000234971313063685
"Ltf",23118.3503180472,3.35065987608628,0.431142358441498,7.77158590540329,0.00000000000000775094842042326,0.00000000000140843344964002
"Ddx4",394.563120589238,3.35870767490606,0.525859590410426,6.38708076481906,0.000000000169082349783666,0.0000000129820316824511
"Zfp532",323.957685821417,3.36077673801073,0.305368516373136,11.005642552568,0.000000000000000000000000000358947878528424,0.000000000000000000000000366889600340866
"Iigp1",684.526973171102,3.36578646430153,0.270034433631864,12.4642861987375,0.0000000000000000000000000000000000116913941289385,0.0000000000000000000000000000000478002648961649
"Tox",129.848970859258,3.37359883777939,0.689262605808026,4.89450437228421,0.000000985537858238002,0.0000310548865773108
"A530064D06Rik",132.366514366809,3.38743468963828,0.808702423069678,4.18872825529597,0.0000280522067377431,0.000590432160861069
"Nr4a1",2302.08350197798,3.39032112150739,0.668177178750264,5.07398520830737,0.000000389569352337583,0.0000138500373654975
"Mpdz",92.5950477245446,3.3910615479311,0.810228157625267,4.18531683454461,0.0000284768617794225,0.000596821217823016
"Gimap4",249.26268244794,3.41943156088886,0.493779834673955,6.92501256789218,0.00000000000435936817779048,0.000000000472139782646261
"Glcci1",153.148470416682,3.42954813938191,1.12741999633243,3.04194368606062,0.0023505586520013,0.0225990806553964
"Ifit1",1531.18977618206,3.44189373227513,1.18440359367664,2.90601425954032,0.00366064766438283,0.031637374560964
"Fstl1",169.719345139275,3.46927559019642,0.470702214148459,7.37042547478269,0.000000000000170084325729007,0.0000000000243996409032647
